replay,owoot_result,frames,rejected_frame_count,first_route_frame,first_road_frame,original_final_event_name,car_id,first_frame,first_route_ok,first_jump_ok,first_road_wheels,first_active_model,first_gate,first_reason,track_sha256
R0000.RPL,no_additional_violation_detected,1472,0,0,0,finish,PMIN,,,,,,,,b72ccebe57b16c1411590f63af40374c5d463e37d2b58431a6279da7666a9b21
R0001.RPL,rejection_candidate,1473,2,0,971,finish,PMIN,971,1,0,0,31,2,no wheel on or above road,b72ccebe57b16c1411590f63af40374c5d463e37d2b58431a6279da7666a9b21
R0002.RPL,rejection_candidate,1513,1,0,1000,finish,PMIN,1000,1,0,0,31,2,no wheel on or above road,b72ccebe57b16c1411590f63af40374c5d463e37d2b58431a6279da7666a9b21
R0003.RPL,no_additional_violation_detected,1627,0,0,0,finish,PMIN,,,,,,,,b72ccebe57b16c1411590f63af40374c5d463e37d2b58431a6279da7666a9b21
R0004.RPL,no_additional_violation_detected,1629,0,0,0,finish,PMIN,,,,,,,,b72ccebe57b16c1411590f63af40374c5d463e37d2b58431a6279da7666a9b21
R0005.RPL,no_additional_violation_detected,1636,0,0,0,finish,PMIN,,,,,,,,b72ccebe57b16c1411590f63af40374c5d463e37d2b58431a6279da7666a9b21
R0006.RPL,no_additional_violation_detected,1707,0,0,0,finish,PMIN,,,,,,,,b72ccebe57b16c1411590f63af40374c5d463e37d2b58431a6279da7666a9b21
R0007.RPL,no_additional_violation_detected,1978,0,0,0,finish,PMIN,,,,,,,,b72ccebe57b16c1411590f63af40374c5d463e37d2b58431a6279da7666a9b21
R0008.RPL,rejection_candidate,1588,16,0,1160,finish,PMIN,1160,1,0,0,-99,0,no wheel on or above road,b72ccebe57b16c1411590f63af40374c5d463e37d2b58431a6279da7666a9b21
R0009.RPL,no_additional_violation_detected,1625,0,0,0,finish,PMIN,,,,,,,,b72ccebe57b16c1411590f63af40374c5d463e37d2b58431a6279da7666a9b21
R0010.RPL,no_additional_violation_detected,1787,0,0,0,finish,PMIN,,,,,,,,b72ccebe57b16c1411590f63af40374c5d463e37d2b58431a6279da7666a9b21
R0011.RPL,no_additional_violation_detected,2338,0,0,0,finish,CDOR,,,,,,,,f2feb9baf57c0f64bc6fbd53e99a87ff0e85615fd213ab3ebd0ff08b93945038
R0012.RPL,no_additional_violation_detected,1592,0,0,0,finish,P962,,,,,,,,7a7260a52b9b720a898fa40323ba103039a488c9eed07549dbdacc63eeb3d01b
R0013.RPL,no_additional_violation_detected,1585,0,0,0,finish,P962,,,,,,,,7a7260a52b9b720a898fa40323ba103039a488c9eed07549dbdacc63eeb3d01b
R0014.RPL,rejection_candidate,2008,623,629,511,finish,PMIN,511,1,0,0,31,2,no wheel on or above road,07669b8edeb9921cb214993296ef0e3189f04870c1dda496f506e55ed3b9ec17
R0015.RPL,rejection_candidate,2209,1507,680,2145,finish,PMIN,680,0,0,14,34,1,stunt route incomplete,07669b8edeb9921cb214993296ef0e3189f04870c1dda496f506e55ed3b9ec17
R0016.RPL,rejection_candidate,2253,11,0,2190,finish,PMIN,2190,1,0,0,-99,0,no wheel on or above road,07669b8edeb9921cb214993296ef0e3189f04870c1dda496f506e55ed3b9ec17
R0017.RPL,rejection_candidate,2188,1534,630,0,finish,PMIN,630,0,0,15,34,1,stunt route incomplete,07669b8edeb9921cb214993296ef0e3189f04870c1dda496f506e55ed3b9ec17
R0018.RPL,rejection_candidate,2109,1460,627,2046,finish,PMIN,627,0,0,15,34,1,stunt route incomplete,07669b8edeb9921cb214993296ef0e3189f04870c1dda496f506e55ed3b9ec17
R0019.RPL,rejection_candidate,1921,1300,599,474,finish,PMIN,474,1,0,0,31,2,no wheel on or above road,07669b8edeb9921cb214993296ef0e3189f04870c1dda496f506e55ed3b9ec17
R0020.RPL,no_additional_violation_detected,1843,0,0,0,finish,PMIN,,,,,,,,9e46bbb5ed81a9a1f1ad9bc1d7e063b7c74868a6adffbf0de01451a45aae67ce
R0021.RPL,no_additional_violation_detected,1824,0,0,0,finish,PMIN,,,,,,,,9e46bbb5ed81a9a1f1ad9bc1d7e063b7c74868a6adffbf0de01451a45aae67ce
R0022.RPL,no_additional_violation_detected,1996,0,0,0,finish,PMIN,,,,,,,,9e46bbb5ed81a9a1f1ad9bc1d7e063b7c74868a6adffbf0de01451a45aae67ce
R0023.RPL,no_additional_violation_detected,1823,0,0,0,finish,PMIN,,,,,,,,9e46bbb5ed81a9a1f1ad9bc1d7e063b7c74868a6adffbf0de01451a45aae67ce
R0024.RPL,no_additional_violation_detected,1775,0,0,0,finish,PMIN,,,,,,,,9e46bbb5ed81a9a1f1ad9bc1d7e063b7c74868a6adffbf0de01451a45aae67ce
R0025.RPL,no_additional_violation_detected,1661,0,0,0,finish,PMIN,,,,,,,,9e46bbb5ed81a9a1f1ad9bc1d7e063b7c74868a6adffbf0de01451a45aae67ce
R0026.RPL,rejection_candidate,1656,1366,275,238,finish,PMIN,238,1,0,0,26,1,no wheel on or above road,9e46bbb5ed81a9a1f1ad9bc1d7e063b7c74868a6adffbf0de01451a45aae67ce
R0027.RPL,no_additional_violation_detected,1640,0,0,0,finish,PMIN,,,,,,,,9e46bbb5ed81a9a1f1ad9bc1d7e063b7c74868a6adffbf0de01451a45aae67ce
R0028.RPL,no_additional_violation_detected,2376,0,0,0,finish,SUKA,,,,,,,,9d0c5e3c6ea1b581856dd425561110dbc4d4a9e207eea10bc602006d2127f3f6
R0029.RPL,no_additional_violation_detected,2240,0,0,0,finish,SUKA,,,,,,,,9d0c5e3c6ea1b581856dd425561110dbc4d4a9e207eea10bc602006d2127f3f6
R0030.RPL,no_additional_violation_detected,2224,0,0,0,finish,SUKA,,,,,,,,9d0c5e3c6ea1b581856dd425561110dbc4d4a9e207eea10bc602006d2127f3f6
R0031.RPL,rejection_candidate,2210,2,0,2054,finish,SUKA,2054,1,0,0,35,5,no wheel on or above road,9d0c5e3c6ea1b581856dd425561110dbc4d4a9e207eea10bc602006d2127f3f6
R0032.RPL,no_additional_violation_detected,2338,0,0,0,finish,SUKA,,,,,,,,9d0c5e3c6ea1b581856dd425561110dbc4d4a9e207eea10bc602006d2127f3f6
R0033.RPL,no_additional_violation_detected,2257,0,0,0,finish,SUKA,,,,,,,,9d0c5e3c6ea1b581856dd425561110dbc4d4a9e207eea10bc602006d2127f3f6
R0034.RPL,rejection_candidate,2286,141,2133,2112,finish,SUKA,2112,1,0,0,35,1,no wheel on or above road,9d0c5e3c6ea1b581856dd425561110dbc4d4a9e207eea10bc602006d2127f3f6
R0035.RPL,no_additional_violation_detected,2334,0,0,0,finish,SUKA,,,,,,,,9d0c5e3c6ea1b581856dd425561110dbc4d4a9e207eea10bc602006d2127f3f6
R0036.RPL,rejection_candidate,2306,1,0,886,finish,SUKA,886,1,0,0,-99,0,no wheel on or above road,9d0c5e3c6ea1b581856dd425561110dbc4d4a9e207eea10bc602006d2127f3f6
R0037.RPL,rejection_candidate,2223,1,0,2066,finish,SUKA,2066,1,0,0,35,5,no wheel on or above road,9d0c5e3c6ea1b581856dd425561110dbc4d4a9e207eea10bc602006d2127f3f6
R0038.RPL,rejection_candidate,2256,81,0,789,finish,SUKA,789,1,0,0,-99,0,no wheel on or above road,9d0c5e3c6ea1b581856dd425561110dbc4d4a9e207eea10bc602006d2127f3f6
R0039.RPL,rejection_candidate,2159,901,1244,1220,finish,SUKA,1220,1,0,0,26,8,no wheel on or above road,9d0c5e3c6ea1b581856dd425561110dbc4d4a9e207eea10bc602006d2127f3f6
R0040.RPL,no_additional_violation_detected,2174,0,0,0,finish,SUKA,,,,,,,,9d0c5e3c6ea1b581856dd425561110dbc4d4a9e207eea10bc602006d2127f3f6
R0041.RPL,no_additional_violation_detected,2200,0,0,0,finish,SUKA,,,,,,,,9d0c5e3c6ea1b581856dd425561110dbc4d4a9e207eea10bc602006d2127f3f6
R0042.RPL,no_additional_violation_detected,2197,0,0,0,finish,SUKA,,,,,,,,9d0c5e3c6ea1b581856dd425561110dbc4d4a9e207eea10bc602006d2127f3f6
R0043.RPL,rejection_candidate,2170,1,0,2015,finish,SUKA,2015,1,0,0,35,5,no wheel on or above road,9d0c5e3c6ea1b581856dd425561110dbc4d4a9e207eea10bc602006d2127f3f6
R0044.RPL,no_additional_violation_detected,2167,0,0,0,finish,SUKA,,,,,,,,9d0c5e3c6ea1b581856dd425561110dbc4d4a9e207eea10bc602006d2127f3f6
